date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:41:35	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-579078fce9329%22	http://godrej-plots.in/robots.txt		(from )
23:41:35	77579/77579	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2018:11:42%20GMT	http://godrej-plots.in/	C:/My%20Web%20Sites/godrej/godrej-plots.in/index.html	(from )
23:41:36	894/894	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2237e-579078fe50929%22	http://godrej-plots.in/images/favicon.ico	C:/My%20Web%20Sites/godrej/godrej-plots.in/images/favicon.ico	(from http://godrej-plots.in/)
23:41:36	140930/140930	---M-Z	200	added ('OK')	text/css	etag:%2222682-57907902f21e9-gzip%22	http://godrej-plots.in/css/bootstrap.min.css	C:/My%20Web%20Sites/godrej/godrej-plots.in/css/bootstrap.min.css	(from http://godrej-plots.in/)
23:41:37	14248/14248	---M-Z	200	added ('OK')	text/css	etag:%2237a8-57907b14a4a89-gzip%22	http://godrej-plots.in/css/app.css	C:/My%20Web%20Sites/godrej/godrej-plots.in/css/app.css	(from http://godrej-plots.in/)
23:41:37	75052/75052	---M-Z	200	added ('OK')	text/css	etag:%221252c-57907901ffee9-gzip%22	http://godrej-plots.in/css/animate.css	C:/My%20Web%20Sites/godrej/godrej-plots.in/css/animate.css	(from http://godrej-plots.in/)
23:41:37	14065/14065	---M-Z	200	added ('OK')	text/css	etag:%2236f1-579079047f949-gzip%22	http://godrej-plots.in/js/fancybox-n/jquery.fancybox.min.css	C:/My%20Web%20Sites/godrej/godrej-plots.in/js/fancybox-n/jquery.fancybox.min.css	(from http://godrej-plots.in/)
23:41:38	77579/77579	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2018:11:44%20GMT	http://godrej-plots.in/index.php	C:/My%20Web%20Sites/godrej/godrej-plots.in/index-2.html	(from http://godrej-plots.in/)
23:41:38	5392/5392	---M--	200	added ('OK')	image/png	etag:%221510-579078ff1da69%22	http://godrej-plots.in/images/logo.png	C:/My%20Web%20Sites/godrej/godrej-plots.in/images/logo.png	(from http://godrej-plots.in/)
23:41:38	3444/3444	---M--	200	added ('OK')	image/jpeg	etag:%22d74-579078fddf4a9%22	http://godrej-plots.in/images/b-logo.jpg	C:/My%20Web%20Sites/godrej/godrej-plots.in/images/b-logo.jpg	(from http://godrej-plots.in/)
23:41:39	1481/1481	---M--	200	added ('OK')	image/png	etag:%225c9-579078fe660e9%22	http://godrej-plots.in/images/h1.png	C:/My%20Web%20Sites/godrej/godrej-plots.in/images/h1.png	(from http://godrej-plots.in/)
23:41:40	1560/1560	---M--	200	added ('OK')	image/png	etag:%22618-579078fe8f129%22	http://godrej-plots.in/images/h2.png	C:/My%20Web%20Sites/godrej/godrej-plots.in/images/h2.png	(from http://godrej-plots.in/)
23:41:40	1218/1218	---M--	200	added ('OK')	image/png	etag:%224c2-579078fe900c9%22	http://godrej-plots.in/images/h3.png	C:/My%20Web%20Sites/godrej/godrej-plots.in/images/h3.png	(from http://godrej-plots.in/)
23:41:40	1172/1172	---M--	200	added ('OK')	image/png	etag:%22494-579078fea3949%22	http://godrej-plots.in/images/h4.png	C:/My%20Web%20Sites/godrej/godrej-plots.in/images/h4.png	(from http://godrej-plots.in/)
